Appliance Brand
LG Optimus
Logik (brand)
LYF
M
M-Pio Co.
Magnavox
Magnetophon
Marantz
Matsui (brand)
Medion
Meebox
Meizu
Mi-Fone
Micromax Informatics
Milbert Amplifiers
MSI Wind Netbook
Muzik (company)
N
National (brand)
NEC
Olympus m:robe
Onida Electronics
Optoma Corporation
Orion Electronics
Packard Bell Corporation
Panasonic
Panasonic (brand)
Panasonic Toughpad
PEL (company)
Perfecthome
Philco
Philips
Philips GoGear
Pioneer Corporation
Pioneer DJ
Powell Manufacturing Company
Powermat Technologies
Prinz (brand)
Prinztronic
ProCare
ProLine (company)
ProScan
Purism (company)
Pyle USA
Quattron
R
Razer Inc.
RCA Lyra
Rio (digital audio players)
S
Saisho
Samsung Electronics
Samsung Galaxy
Samsung Galaxy Watch
Samsung Galaxy Watch Active
Samsung Galaxy Watch series
Samsung Gear
Samsung Sens
Samsung Telecommunications
SanDisk Sansa
Sandstrøm (brand)
Sanyo
Schneider Rundfunkwerke
Seiki Digital
Sharp Corporation
Sherwood (company)
Shure
Siemens
Siemens Mobile
SMS Audio
Sonos
Sony
Sony Mobile
Sony Vaio VGX Series
Supersonic Electronics
Sylvania (brand)
Syntax–Brillian Corporation
System76
T
TCL Technology
TEAC Corporation
Technics (brand)
ThinkBook
ThinkPad
Toshiba
Toshiba Portégé
Toshiba Qosmio
Toshiba Satellite
Toshiba Tecra
Toughbook
TVonics
U
UGREEN
United States Television Manufacturing Corp.
V
Vaio
Verzo
Vizio Inc.
Dell Vostro
Vsun
Vu Televisions
W
Walkman
Weltron
Westinghouse Electronics
WOOx Technology
X
Xohm
Xtreamer
Y
YI Technology
Z
ZenBook
Zenith Electronics
Zonda Telecom
Zune
Zvue
Zync Global
A
Advantium
AGA cooker
B
Bialetti
Big Green Egg
C
Chandley Ovens
Cretors
Cuisinart
D
Dacor (kitchen appliances)
De'Longhi
Easy-Bake Oven
Edesa
Elica
F
Faber (company)
Faema
G
George Foreman Grill
God-Grilla
H
Hawkins Cookers
J
Jaipan Industries
L
La Cornue
Lagostina
Lincat
M
Mr. Coffee
N
Napoleon (company)
National Presto Industries
Parkinson Cowan
R
Rational AG
Rayburn range
RFIQin
Ronco
Rowlett Rutland
S
SousVide Supreme
Stovekraft
Sunbeam CG
Sunbeam Products
Suzy Homemaker
T
Tefal
Thermador
Trivection oven
V
Viking Range
W
Weber-Stephen Products
WMF Group
